cou:中国
pro:北京市,中国
cit:东城区,北京市,中国
cit:西城区,北京市,中国
cit:朝阳区,北京市,中国
cit:丰台区,北京市,中国
cit:石景山区,北京市,中国
cit:海淀区,北京市,中国
cit:门头沟区,北京市,中国
cit:房山区,北京市,中国
cit:通州区,北京市,中国
cit:顺义区,北京市,中国
cit:昌平区,北京市,中国
cit:大兴区,北京市,中国
cit:怀柔区,北京市,中国
cit:平谷区,北京市,中国
cit:密云县,北京市,中国
cit:延庆县,北京市,中国
pro:天津市,中国
cit:和平区,天津市,中国
cit:河东区,天津市,中国
cit:河西区,天津市,中国
cit:南开区,天津市,中国
cit:河北区,天津市,中国
cit:红桥区,天津市,中国
cit:东丽区,天津市,中国
cit:西青区,天津市,中国
cit:津南区,天津市,中国
cit:北辰区,天津市,中国
cit:武清区,天津市,中国
cit:宝坻区,天津市,中国
cit:滨海新区,天津市,中国
cit:宁河县,天津市,中国
cit:静海县,天津市,中国
cit:蓟县,天津市,中国
pro:河北省,中国
cit:石家庄市,河北省,中国
dis:武强县,衡水市,河北省,中国
dis:饶阳县,衡水市,河北省,中国
dis:安平县,衡水市,河北省,中国
dis:故城县,衡水市,河北省,中国
dis:景县,衡水市,河北省,中国
dis:阜城县,衡水市,河北省,中国
dis:冀州市,衡水市,河北省,中国
dis:深州市,衡水市,河北省,中国
pro:山西省,中国
cit:太原市,山西省,中国
dis:小店区,太原市,山西省,中国
dis:迎泽区,太原市,山西省,中国
dis:杏花岭区,太原市,山西省,中国
dis:尖草坪区,太原市,山西省,中国
dis:万柏林区,太原市,山西省,中国
dis:晋源区,太原市,山西省,中国
dis:清徐县,太原市,山西省,中国
dis:阳曲县,太原市,山西省,中国
dis:娄烦县,太原市,山西省,中国
dis:古交市,太原市,山西省,中国
cit:大同市,山西省,中国
dis:城区,大同市,山西省,中国
dis:矿区,大同市,山西省,中国
dis:南郊区,大同市,山西省,中国
dis:新荣区,大同市,山西省,中国
dis:阳高县,大同市,山西省,中国
dis:天镇县,大同市,山西省,中国
dis:广灵县,大同市,山西省,中国
dis:灵丘县,大同市,山西省,中国
dis:浑源县,大同市,山西省,中国
dis:左云县,大同市,山西省,中国
dis:大同县,大同市,山西省,中国
cit:阳泉市,山西省,中国
dis:城区,阳泉市,山西省,中国
dis:矿区,阳泉市,山西省,中国
dis:郊区,阳泉市,山西省,中国
dis:平定县,阳泉市,山西省,中国
dis:盂县,阳泉市,山西省,中国
cit:长治市,山西省,中国
dis:城区,长治市,山西省,中国
dis:郊区,长治市,山西省,中国
dis:长治县,长治市,山西省,中国
dis:襄垣县,长治市,山西省,中国
dis:屯留县,长治市,山西省,中国
dis:平顺县,长治市,山西省,中国
dis:黎城县,长治市,山西省,中国
dis:壶关县,长治市,山西省,中国
dis:长子县,长治市,山西省,中国
dis:武乡县,长治市,山西省,中国
dis:沁县,长治市,山西省,中国
dis:沁源县,长治市,山西省,中国
dis:潞城市,长治市,山西省,中国
cit:晋城市,山西省,中国
dis:城区,晋城市,山西省,中国
dis:沁水县,晋城市,山西省,中国
dis:阳城县,晋城市,山西省,中国
dis:陵川县,晋城市,山西省,中国
dis:泽州县,晋城市,山西省,中国
dis:高平市,晋城市,山西省,中国
cit:朔州市,山西省,中国
dis:朔城区,朔州市,山西省,中国
dis:平鲁区,朔州市,山西省,中国
dis:山阴县,朔州市,山西省,中国
dis:应县,朔州市,山西省,中国
dis:右玉县,朔州市,山西省,中国
dis:怀仁县,朔州市,山西省,中国
cit:晋中市,山西省,中国
dis:榆次区,晋中市,山西省,中国
dis:榆社县,晋中市,山西省,中国
dis:左权县,晋中市,山西省,中国
dis:和顺县,晋中市,山西省,中国
dis:昔阳县,晋中市,山西省,中国
dis:寿阳县,晋中市,山西省,中国
dis:太谷县,晋中市,山西省,中国
dis:祁县,晋中市,山西省,中国
dis:平遥县,晋中市,山西省,中国
dis:灵石县,晋中市,山西省,中国
dis:介休市,晋中市,山西省,中国
cit:运城市,山西省,中国
dis:盐湖区,运城市,山西省,中国
dis:临猗县,运城市,山西省,中国
dis:万荣县,运城市,山西省,中国
dis:闻喜县,运城市,山西省,中国
dis:稷山县,运城市,山西省,中国
dis:新绛县,运城市,山西省,中国
dis:绛县,运城市,山西省,中国
dis:垣曲县,运城市,山西省,中国
dis:夏县,运城市,山西省,中国
dis:平陆县,运城市,山西省,中国
dis:芮城县,运城市,山西省,中国
dis:永济市,运城市,山西省,中国
dis:河津市,运城市,山西省,中国
cit:忻州市,山西省,中国
dis:忻府区,忻州市,山西省,中国
dis:定襄县,忻州市,山西省,中国
dis:五台县,忻州市,山西省,中国
dis:代县,忻州市,山西省,中国
dis:繁峙县,忻州市,山西省,中国
dis:宁武县,忻州市,山西省,中国
dis:静乐县,忻州市,山西省,中国
dis:神池县,忻州市,山西省,中国
dis:五寨县,忻州市,山西省,中国
dis:岢岚县,忻州市,山西省,中国
dis:河曲县,忻州市,山西省,中国
dis:保德县,忻州市,山西省,中国
dis:偏关县,忻州市,山西省,中国
dis:原平市,忻州市,山西省,中国
cit:临汾市,山西省,中国
dis:尧都区,临汾市,山西省,中国
dis:曲沃县,临汾市,山西省,中国
dis:翼城县,临汾市,山西省,中国
dis:襄汾县,临汾市,山西省,中国
dis:洪洞县,临汾市,山西省,中国
dis:古县,临汾市,山西省,中国
dis:安泽县,临汾市,山西省,中国
dis:浮山县,临汾市,山西省,中国
dis:吉县,临汾市,山西省,中国
dis:乡宁县,临汾市,山西省,中国
dis:大宁县,临汾市,山西省,中国
dis:隰县,临汾市,山西省,中国
dis:永和县,临汾市,山西省,中国
dis:蒲县,临汾市,山西省,中国
dis:汾西县,临汾市,山西省,中国
dis:侯马市,临汾市,山西省,中国
dis:霍州市,临汾市,山西省,中国
cit:吕梁市,山西省,中国
dis:离石区,吕梁市,山西省,中国
dis:文水县,吕梁市,山西省,中国
dis:交城县,吕梁市,山西省,中国
dis:兴县,吕梁市,山西省,中国
dis:临县,吕梁市,山西省,中国
dis:柳林县,吕梁市,山西省,中国
dis:石楼县,吕梁市,山西省,中国
dis:岚县,吕梁市,山西省,中国
dis:方山县,吕梁市,山西省,中国
dis:中阳县,吕梁市,山西省,中国
dis:交口县,吕梁市,山西省,中国
dis:孝义市,吕梁市,山西省,中国
dis:汾阳市,吕梁市,山西省,中国
pro:内蒙古自治区,中国
cit:呼和浩特市,内蒙古自治区,中国
dis:新城区,呼和浩特市,内蒙古自治区,中国
dis:回民区,呼和浩特市,内蒙古自治区,中国
dis:玉泉区,呼和浩特市,内蒙古自治区,中国
dis:赛罕区,呼和浩特市,内蒙古自治区,中国
dis:土默特左旗,呼和浩特市,内蒙古自治区,中国
dis:托克托县,呼和浩特市,内蒙古自治区,中国
dis:和林格尔县,呼和浩特市,内蒙古自治区,中国
dis:清水河县,呼和浩特市,内蒙古自治区,中国
dis:武川县,呼和浩特市,内蒙古自治区,中国
cit:包头市,内蒙古自治区,中国
dis:东河区,包头市,内蒙古自治区,中国
dis:昆都仑区,包头市,内蒙古自治区,中国
dis:青山区,包头市,内蒙古自治区,中国
dis:石拐区,包头市,内蒙古自治区,中国
dis:白云鄂博矿区,包头市,内蒙古自治区,中国
dis:九原区,包头市,内蒙古自治区,中国
dis:土默特右旗,包头市,内蒙古自治区,中国
dis:固阳县,包头市,内蒙古自治区,中国
dis:达尔罕茂明安联合旗,包头市,内蒙古自治区,中国
cit:乌海市,内蒙古自治区,中国
dis:海勃湾区,乌海市,内蒙古自治区,中国
dis:海南区,乌海市,内蒙古自治区,中国
dis:乌达区,乌海市,内蒙古自治区,中国
cit:赤峰市,内蒙古自治区,中国
dis:红山区,赤峰市,内蒙古自治区,中国
dis:元宝山区,赤峰市,内蒙古自治区,中国
dis:松山区,赤峰市,内蒙古自治区,中国
dis:阿鲁科尔沁旗,赤峰市,内蒙古自治区,中国
dis:巴林左旗,赤峰市,内蒙古自治区,中国
dis:巴林右旗,赤峰市,内蒙古自治区,中国
dis:林西县,赤峰市,内蒙古自治区,中国
dis:克什克腾旗,赤峰市,内蒙古自治区,中国
dis:翁牛特旗,赤峰市,内蒙古自治区,中国
dis:喀喇沁旗,赤峰市,内蒙古自治区,中国
dis:宁城县,赤峰市,内蒙古自治区,中国
dis:敖汉旗,赤峰市,内蒙古自治区,中国
cit:通辽市,内蒙古自治区,中国
dis:科尔沁区,通辽市,内蒙古自治区,中国
dis:科尔沁左翼中旗,通辽市,内蒙古自治区,中国
dis:科尔沁左翼后旗,通辽市,内蒙古自治区,中国
dis:开鲁县,通辽市,内蒙古自治区,中国
dis:库伦旗,通辽市,内蒙古自治区,中国
dis:奈曼旗,通辽市,内蒙古自治区,中国
dis:扎鲁特旗,通辽市,内蒙古自治区,中国
dis:霍林郭勒市,通辽市,内蒙古自治区,中国
cit:鄂尔多斯市,内蒙古自治区,中国
dis:东胜区,鄂尔多斯市,内蒙古自治区,中国
dis:达拉特旗,鄂尔多斯市,内蒙古自治区,中国
dis:准格尔旗,鄂尔多斯市,内蒙古自治区,中国
dis:鄂托克前旗,鄂尔多斯市,内蒙古自治区,中国
dis:鄂托克旗,鄂尔多斯市,内蒙古自治区,中国
dis:杭锦旗,鄂尔多斯市,内蒙古自治区,中国
dis:乌审旗,鄂尔多斯市,内蒙古自治区,中国
dis:伊金霍洛旗,鄂尔多斯市,内蒙古自治区,中国
cit:呼伦贝尔市,内蒙古自治区,中国
dis:海拉尔区,呼伦贝尔市,内蒙古自治区,中国
dis:扎赉诺尔区,呼伦贝尔市,内蒙古自治区,中国
dis:阿荣旗,呼伦贝尔市,内蒙古自治区,中国
dis:莫力达瓦达斡尔族自治旗,呼伦贝尔市,内蒙古自治区,中国
dis:鄂伦春自治旗,呼伦贝尔市,内蒙古自治区,中国
dis:鄂温克族自治旗,呼伦贝尔市,内蒙古自治区,中国
dis:陈巴尔虎旗,呼伦贝尔市,内蒙古自治区,中国
dis:新巴尔虎左旗,呼伦贝尔市,内蒙古自治区,中国
dis:新巴尔虎右旗,呼伦贝尔市,内蒙古自治区,中国
dis:满洲里市,呼伦贝尔市,内蒙古自治区,中国
dis:牙克石市,呼伦贝尔市,内蒙古自治区,中国
dis:扎兰屯市,呼伦贝尔市,内蒙古自治区,中国
dis:额尔古纳市,呼伦贝尔市,内蒙古自治区,中国
dis:根河市,呼伦贝尔市,内蒙古自治区,中国
cit:巴彦淖尔市,内蒙古自治区,中国
dis:临河区,巴彦淖尔市,内蒙古自治区,中国
dis:五原县,巴彦淖尔市,内蒙古自治区,中国
dis:磴口县,巴彦淖尔市,内蒙古自治区,中国
dis:乌拉特前旗,巴彦淖尔市,内蒙古自治区,中国
dis:乌拉特中旗,巴彦淖尔市,内蒙古自治区,中国
dis:乌拉特后旗,巴彦淖尔市,内蒙古自治区,中国
dis:杭锦后旗,巴彦淖尔市,内蒙古自治区,中国
cit:乌兰察布市,内蒙古自治区,中国
dis:集宁区,乌兰察布市,内蒙古自治区,中国
dis:卓资县,乌兰察布市,内蒙古自治区,中国
dis:化德县,乌兰察布市,内蒙古自治区,中国
dis:商都县,乌兰察布市,内蒙古自治区,中国
dis:兴和县,乌兰察布市,内蒙古自治区,中国
dis:凉城县,乌兰察布市,内蒙古自治区,中国
dis:察哈尔右翼前旗,乌兰察布市,内蒙古自治区,中国
dis:察哈尔右翼中旗,乌兰察布市,内蒙古自治区,中国
dis:察哈尔右翼后旗,乌兰察布市,内蒙古自治区,中国
dis:四子王旗,乌兰察布市,内蒙古自治区,中国
dis:丰镇市,乌兰察布市,内蒙古自治区,中国
cit:兴安盟,内蒙古自治区,中国
dis:乌兰浩特市,兴安盟,内蒙古自治区,中国
dis:阿尔山市,兴安盟,内蒙古自治区,中国
dis:科尔沁右翼前旗,兴安盟,内蒙古自治区,中国
dis:科尔沁右翼中旗,兴安盟,内蒙古自治区,中国
dis:扎赉特旗,兴安盟,内蒙古自治区,中国
dis:突泉县,兴安盟,内蒙古自治区,中国
cit:锡林郭勒盟,内蒙古自治区,中国
dis:二连浩特市,锡林郭勒盟,内蒙古自治区,中国
dis:锡林浩特市,锡林郭勒盟,内蒙古自治区,中国
dis:阿巴嘎旗,锡林郭勒盟,内蒙古自治区,中国
dis:苏尼特左旗,锡林郭勒盟,内蒙古自治区,中国
dis:苏尼特右旗,锡林郭勒盟,内蒙古自治区,中国
dis:东乌珠穆沁旗,锡林郭勒盟,内蒙古自治区,中国
dis:西乌珠穆沁旗,锡林郭勒盟,内蒙古自治区,中国
dis:太仆寺旗,锡林郭勒盟,内蒙古自治区,中国
dis:镶黄旗,锡林郭勒盟,内蒙古自治区,中国
dis:正镶白旗,锡林郭勒盟,内蒙古自治区,中国
dis:正蓝旗,锡林郭勒盟,内蒙古自治区,中国
dis:多伦县,锡林郭勒盟,内蒙古自治区,中国
cit:阿拉善盟,内蒙古自治区,中国
dis:阿拉善左旗,阿拉善盟,内蒙古自治区,中国
dis:阿拉善右旗,阿拉善盟,内蒙古自治区,中国
dis:额济纳旗,阿拉善盟,内蒙古自治区,中国
pro:辽宁省,中国
cit:沈阳市,辽宁省,中国
dis:和平区,沈阳市,辽宁省,中国
dis:沈河区,沈阳市,辽宁省,中国
dis:大东区,沈阳市,辽宁省,中国
dis:皇姑区,沈阳市,辽宁省,中国
dis:铁西区,沈阳市,辽宁省,中国
dis:苏家屯区,沈阳市,辽宁省,中国
dis:东陵区,沈阳市,辽宁省,中国
dis:沈北新区,沈阳市,辽宁省,中国
dis:于洪区,沈阳市,辽宁省,中国
dis:辽中县,沈阳市,辽宁省,中国
dis:康平县,沈阳市,辽宁省,中国
dis:法库县,沈阳市,辽宁省,中国
dis:新民市,沈阳市,辽宁省,中国
cit:大连市,辽宁省,中国
dis:中山区,大连市,辽宁省,中国
dis:西岗区,大连市,辽宁省,中国
dis:沙河口区,大连市,辽宁省,中国
dis:甘井子区,大连市,辽宁省,中国
dis:旅顺口区,大连市,辽宁省,中国
dis:金州区,大连市,辽宁省,中国
dis:长海县,大连市,辽宁省,中国
dis:瓦房店市,大连市,辽宁省,中国
dis:普兰店市,大连市,辽宁省,中国
dis:庄河市,大连市,辽宁省,中国
cit:鞍山市,辽宁省,中国
dis:铁东区,鞍山市,辽宁省,中国
dis:铁西区,鞍山市,辽宁省,中国
dis:立山区,鞍山市,辽宁省,中国
dis:千山区,鞍山市,辽宁省,中国
dis:台安县,鞍山市,辽宁省,中国
dis:岫岩满族自治县,鞍山市,辽宁省,中国
dis:海城市,鞍山市,辽宁省,中国
cit:抚顺市,辽宁省,中国
dis:新抚区,抚顺市,辽宁省,中国
dis:东洲区,抚顺市,辽宁省,中国
dis:望花区,抚顺市,辽宁省,中国
dis:顺城区,抚顺市,辽宁省,中国
dis:抚顺县,抚顺市,辽宁省,中国
dis:新宾满族自治县,抚顺市,辽宁省,中国
dis:清原满族自治县,抚顺市,辽宁省,中国
cit:本溪市,辽宁省,中国
dis:平山区,本溪市,辽宁省,中国
dis:溪湖区,本溪市,辽宁省,中国
dis:明山区,本溪市,辽宁省,中国
dis:南芬区,本溪市,辽宁省,中国
dis:本溪满族自治县,本溪市,辽宁省,中国
dis:桓仁满族自治县,本溪市,辽宁省,中国
cit:丹东市,辽宁省,中国
dis:元宝区,丹东市,辽宁省,中国
dis:振兴区,丹东市,辽宁省,中国
dis:振安区,丹东市,辽宁省,中国
dis:宽甸满族自治县,丹东市,辽宁省,中国
dis:东港市,丹东市,辽宁省,中国
dis:凤城市,丹东市,辽宁省,中国
cit:锦州市,辽宁省,中国
dis:古塔区,锦州市,辽宁省,中国
dis:凌河区,锦州市,辽宁省,中国
dis:太和区,锦州市,辽宁省,中国
dis:黑山县,锦州市,辽宁省,中国
dis:义县,锦州市,辽宁省,中国
dis:凌海市,锦州市,辽宁省,中国
dis:北镇市,锦州市,辽宁省,中国
cit:营口市,辽宁省,中国
dis:站前区,营口市,辽宁省,中国
dis:西市区,营口市,辽宁省,中国
dis:鲅鱼圈区,营口市,辽宁省,中国
dis:老边区,营口市,辽宁省,中国
dis:盖州市,营口市,辽宁省,中国
dis:大石桥市,营口市,辽宁省,中国
cit:阜新市,辽宁省,中国
dis:海州区,阜新市,辽宁省,中国
dis:新邱区,阜新市,辽宁省,中国
dis:太平区,阜新市,辽宁省,中国
dis:清河门区,阜新市,辽宁省,中国
dis:细河区,阜新市,辽宁省,中国
dis:阜新蒙古族自治县,阜新市,辽宁省,中国
dis:彰武县,阜新市,辽宁省,中国
cit:辽阳市,辽宁省,中国
dis:白塔区,辽阳市,辽宁省,中国
dis:文圣区,辽阳市,辽宁省,中国
dis:宏伟区,辽阳市,辽宁省,中国
dis:弓长岭区,辽阳市,辽宁省,中国
dis:太子河区,辽阳市,辽宁省,中国
dis:辽阳县,辽阳市,辽宁省,中国
dis:灯塔市,辽阳市,辽宁省,中国
cit:盘锦市,辽宁省,中国
dis:双台子区,盘锦市,辽宁省,中国
dis:兴隆台区,盘锦市,辽宁省,中国
dis:大洼县,盘锦市,辽宁省,中国
dis:盘山县,盘锦市,辽宁省,中国
cit:铁岭市,辽宁省,中国
dis:银州区,铁岭市,辽宁省,中国
dis:清河区,铁岭市,辽宁省,中国
dis:铁岭县,铁岭市,辽宁省,中国
dis:西丰县,铁岭市,辽宁省,中国
dis:昌图县,铁岭市,辽宁省,中国
dis:调兵山市,铁岭市,辽宁省,中国
dis:开原市,铁岭市,辽宁省,中国
cit:朝阳市,辽宁省,中国
dis:双塔区,朝阳市,辽宁省,中国
dis:龙城区,朝阳市,辽宁省,中国
dis:朝阳县,朝阳市,辽宁省,中国
dis:建平县,朝阳市,辽宁省,中国
dis:喀喇沁左翼蒙古族自治县,朝阳市,辽宁省,中国
dis:北票市,朝阳市,辽宁省,中国
dis:凌源市,朝阳市,辽宁省,中国
cit:葫芦岛市,辽宁省,中国
dis:连山区,葫芦岛市,辽宁省,中国
dis:龙港区,葫芦岛市,辽宁省,中国
dis:南票区,葫芦岛市,辽宁省,中国
dis:绥中县,葫芦岛市,辽宁省,中国
dis:建昌县,葫芦岛市,辽宁省,中国
dis:兴城市,葫芦岛市,辽宁省,中国
pro:吉林省,中国
cit:长春市,吉林省,中国
dis:南关区,长春市,吉林省,中国
dis:宽城区,长春市,吉林省,中国
dis:朝阳区,长春市,吉林省,中国
dis:二道区,长春市,吉林省,中国
dis:绿园区,长春市,吉林省,中国
dis:双阳区,长春市,吉林省,中国
dis:农安县,长春市,吉林省,中国
dis:九台区,长春市,吉林省,中国
dis:榆树市,长春市,吉林省,中国
dis:德惠市,长春市,吉林省,中国
cit:吉林市,吉林省,中国
dis:昌邑区,吉林市,吉林省,中国
dis:龙潭区,吉林市,吉林省,中国
dis:船营区,吉林市,吉林省,中国
dis:丰满区,吉林市,吉林省,中国
dis:永吉县,吉林市,吉林省,中国
dis:蛟河市,吉林市,吉林省,中国
dis:桦甸市,吉林市,吉林省,中国
dis:舒兰市,吉林市,吉林省,中国
dis:磐石市,吉林市,吉林省,中国
cit:四平市,吉林省,中国
dis:铁西区,四平市,吉林省,中国
dis:铁东区,四平市,吉林省,中国
dis:梨树县,四平市,吉林省,中国
dis:伊通满族自治县,四平市,吉林省,中国
dis:公主岭市,四平市,吉林省,中国
dis:双辽市,四平市,吉林省,中国
cit:辽源市,吉林省,中国
dis:龙山区,辽源市,吉林省,中国
dis:西安区,辽源市,吉林省,中国
dis:东丰县,辽源市,吉林省,中国
dis:东辽县,辽源市,吉林省,中国
cit:通化市,吉林省,中国
dis:东昌区,通化市,吉林省,中国
dis:二道江区,通化市,吉林省,中国
dis:通化县,通化市,吉林省,中国
dis:辉南县,通化市,吉林省,中国
dis:柳河县,通化市,吉林省,中国
dis:梅河口市,通化市,吉林省,中国
dis:集安市,通化市,吉林省,中国
cit:白山市,吉林省,中国
dis:浑江区,白山市,吉林省,中国
dis:江源区,白山市,吉林省,中国
